PassengerId,Survived,Pclass,Sex,Age,Parch
1,0,3,male,22,0
2,1,1,female,38,0
3,1,3,female,26,0
4,1,1,female,35,0
5,0,3,male,35,0
7,0,1,male,54,0
8,0,3,male,2,1
9,1,3,female,27,2
10,1,2,female,14,0
11,1,3,female,4,1
12,1,1,female,58,0
13,0,3,male,20,0
14,0,3,male,39,5
15,0,3,female,14,0
16,1,2,female,55,0
17,0,3,male,2,1
19,0,3,female,31,0
21,0,2,male,35,0
22,1,2,male,34,0
23,1,3,female,15,0
24,1,1,male,28,0
25,0,3,female,8,1
26,1,3,female,38,5
28,0,1,male,19,2
31,0,1,male,40,0
34,0,2,male,66,0
35,0,1,male,28,0
36,0,1,male,42,0
38,0,3,male,21,0
39,0,3,female,18,0
40,1,3,female,14,0
41,0,3,female,40,0
42,0,2,female,27,0
44,1,2,female,3,2
45,1,3,female,19,0
50,0,3,female,18,0
51,0,3,male,7,1
52,0,3,male,21,0
53,1,1,female,49,0
54,1,2,female,29,0
55,0,1,male,65,1
57,1,2,female,21,0
58,0,3,male,28.5,0
59,1,2,female,5,2
60,0,3,male,11,2
61,0,3,male,22,0
62,1,1,female,38,0
63,0,1,male,45,0
64,0,3,male,4,2
67,1,2,female,29,0
68,0,3,male,19,0
69,1,3,female,17,2
70,0,3,male,26,0
71,0,2,male,32,0
72,0,3,female,16,2
73,0,2,male,21,0
74,0,3,male,26,0
75,1,3,male,32,0
76,0,3,male,25,0
79,1,2,male,0.83,2
80,1,3,female,30,0
81,0,3,male,22,0
82,1,3,male,29,0
84,0,1,male,28,0
85,1,2,female,17,0
86,1,3,female,33,0
87,0,3,male,16,3
89,1,1,female,23,2
90,0,3,male,24,0
91,0,3,male,29,0
92,0,3,male,20,0
93,0,1,male,46,0
94,0,3,male,26,2
95,0,3,male,59,0
97,0,1,male,71,0
98,1,1,male,23,1
99,1,2,female,34,1
100,0,2,male,34,0
101,0,3,female,28,0
103,0,1,male,21,1
104,0,3,male,33,0
105,0,3,male,37,0
106,0,3,male,28,0
107,1,3,female,21,0
109,0,3,male,38,0
111,0,1,male,47,0
112,0,3,female,14.5,0
113,0,3,male,22,0
114,0,3,female,20,0
115,0,3,female,17,0
116,0,3,male,21,0
117,0,3,male,70.5,0
118,0,2,male,29,0
119,0,1,male,24,1
120,0,3,female,2,2
121,0,2,male,21,0
123,0,2,male,32.5,0
124,1,2,female,32.5,0
125,0,1,male,54,1
126,1,3,male,12,0
128,1,3,male,24,0
130,0,3,male,45,0
131,0,3,male,33,0
132,0,3,male,20,0
133,0,3,female,47,0
134,1,2,female,29,0
135,0,2,male,25,0
136,0,2,male,23,0
137,1,1,female,19,2
138,0,1,male,37,0
139,0,3,male,16,0
140,0,1,male,24,0
142,1,3,female,22,0
143,1,3,female,24,0
144,0,3,male,19,0
145,0,2,male,18,0
146,0,2,male,19,1
147,1,3,male,27,0
148,0,3,female,9,2
149,0,2,male,36.5,2
150,0,2,male,42,0
151,0,2,male,51,0
152,1,1,female,22,0
153,0,3,male,55.5,0
154,0,3,male,40.5,2
156,0,1,male,51,1
157,1,3,female,16,0
158,0,3,male,30,0
161,0,3,male,44,1
162,1,2,female,40,0
163,0,3,male,26,0
164,0,3,male,17,0
165,0,3,male,1,1
166,1,3,male,9,2
168,0,3,female,45,4
170,0,3,male,28,0
171,0,1,male,61,0
172,0,3,male,4,1
173,1,3,female,1,1
174,0,3,male,21,0
175,0,1,male,56,0
176,0,3,male,18,1
178,0,1,female,50,0
179,0,2,male,30,0
180,0,3,male,36,0
183,0,3,male,9,2
184,1,2,male,1,1
185,1,3,female,4,2
188,1,1,male,45,0
189,0,3,male,40,1
190,0,3,male,36,0
191,1,2,female,32,0
192,0,2,male,19,0
193,1,3,female,19,0
194,1,2,male,3,1
195,1,1,female,44,0
196,1,1,female,58,0
198,0,3,male,42,1
200,0,2,female,24,0
201,0,3,male,28,0
203,0,3,male,34,0
204,0,3,male,45.5,0
205,1,3,male,18,0
206,0,3,female,2,1
207,0,3,male,32,0
208,1,3,male,26,0
209,1,3,female,16,0
210,1,1,male,40,0
211,0,3,male,24,0
212,1,2,female,35,0
213,0,3,male,22,0
214,0,2,male,30,0
216,1,1,female,31,0
217,1,3,female,27,0
218,0,2,male,42,0
219,1,1,female,32,0
220,0,2,male,30,0
221,1,3,male,16,0
222,0,2,male,27,0
223,0,3,male,51,0
225,1,1,male,38,0
226,0,3,male,22,0
227,1,2,male,19,0
228,0,3,male,20.5,0
229,0,2,male,18,0
231,1,1,female,35,0
232,0,3,male,29,0
233,0,2,male,59,0
234,1,3,female,5,2
235,0,2,male,24,0
237,0,2,male,44,0
238,1,2,female,8,2
239,0,2,male,19,0
240,0,2,male,33,0
243,0,2,male,29,0
244,0,3,male,22,0
245,0,3,male,30,0
246,0,1,male,44,0
247,0,3,female,25,0
248,1,2,female,24,2
249,1,1,male,37,1
250,0,2,male,54,0
252,0,3,female,29,1
253,0,1,male,62,0
254,0,3,male,30,0
255,0,3,female,41,2
256,1,3,female,29,2
258,1,1,female,30,0
259,1,1,female,35,0
260,1,2,female,50,1
262,1,3,male,3,2
263,0,1,male,52,1
264,0,1,male,40,0
266,0,2,male,36,0
267,0,3,male,16,1
268,1,3,male,25,0
269,1,1,female,58,1
270,1,1,female,35,0
272,1,3,male,25,0
273,1,2,female,41,1
274,0,1,male,37,1
276,1,1,female,63,0
277,0,3,female,45,0
279,0,3,male,7,1
280,1,3,female,35,1
281,0,3,male,65,0
282,0,3,male,28,0
283,0,3,male,16,0
284,1,3,male,19,0
286,0,3,male,33,0
287,1,3,male,30,0
288,0,3,male,22,0
289,1,2,male,42,0
290,1,3,female,22,0
291,1,1,female,26,0
292,1,1,female,19,0
293,0,2,male,36,0
294,0,3,female,24,0
295,0,3,male,24,0
297,0,3,male,23.5,0
298,0,1,female,2,2
300,1,1,female,50,1
303,0,3,male,19,0
306,1,1,male,0.92,2
308,1,1,female,17,0
309,0,2,male,30,0
310,1,1,female,30,0
311,1,1,female,24,0
312,1,1,female,18,2
313,0,2,female,26,1
314,0,3,male,28,0
315,0,2,male,43,1
316,1,3,female,26,0
317,1,2,female,24,0
318,0,2,male,54,0
319,1,1,female,31,2
320,1,1,female,40,1
321,0,3,male,22,0
322,0,3,male,27,0
323,1,2,female,30,0
324,1,2,female,22,1
326,1,1,female,36,0
327,0,3,male,61,0
328,1,2,female,36,0
329,1,3,female,31,1
330,1,1,female,16,1
332,0,1,male,45.5,0
333,0,1,male,38,1
334,0,3,male,16,0
337,0,1,male,29,0
338,1,1,female,41,0
339,1,3,male,45,0
340,0,1,male,45,0
341,1,2,male,2,1
342,1,1,female,24,2
343,0,2,male,28,0
344,0,2,male,25,0
345,0,2,male,36,0
346,1,2,female,24,0
347,1,2,female,40,0
349,1,3,male,3,1
350,0,3,male,42,0
351,0,3,male,23,0
353,0,3,male,15,1
354,0,3,male,25,0
356,0,3,male,28,0
357,1,1,female,22,1
358,0,2,female,38,0
361,0,3,male,40,4
362,0,2,male,29,0
363,0,3,female,45,1
364,0,3,male,35,0
366,0,3,male,30,0
367,1,1,female,60,0
370,1,1,female,24,0
371,1,1,male,25,0
372,0,3,male,18,0
373,0,3,male,19,0
374,0,1,male,22,0
375,0,3,female,3,1
377,1,3,female,22,0
378,0,1,male,27,2
379,0,3,male,20,0
380,0,3,male,19,0
381,1,1,female,42,0
382,1,3,female,1,2
383,0,3,male,32,0
384,1,1,female,35,0
386,0,2,male,18,0
387,0,3,male,1,2
388,1,2,female,36,0
390,1,2,female,17,0
391,1,1,male,36,2
392,1,3,male,21,0
393,0,3,male,28,0
394,1,1,female,23,0
